uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
3152,Down Load: Namu Amida Butsu wa Ai no Uta,An exciting cyberpunk romp directed by Rintaro with veteran animator Kanada Yoshinori about a genius hacker and a gang of hot-rodders.,"['Action', 'Adventure', 'Psychological', 'Sci-Fi']","Dec 18, 1992",1.0,1581,8500,9032.0,5.78,https://cdn.myanimelist.net/images/anime/11/27128.jpg,https://myanimelist.net/anime/3152/Down_Load__Namu_Amida_Butsu_wa_Ai_no_Uta
19187,Fake Doll,Music Video by Hachioji-P featuring Hatsune Miku.,['Music'],"Aug 27, 2012",1.0,1413,8778,9033.0,5.78,https://cdn.myanimelist.net/images/anime/10/52123.jpg,https://myanimelist.net/anime/19187/Fake_Doll
39549,Clone,"Music video directed by Yuutarou Kubo for the song  Clone  by Japanese rock band the HIATUS in their album ""Hands of Gravity.""",['Music'],"Jul 15, 2016",1.0,112,15086,9031.0,5.78,https://cdn.myanimelist.net/images/anime/1435/99830.jpg,https://myanimelist.net/anime/39549/Clone
4908,Bihada Ichizoku,"There is a World Beautiful-Skin Competition (WBC) to which the 3 billion women of the world aspire. Carrying on the 300-year legacy of the competition are the twin Bihada sisters, Sara and Saki.","['Drama', 'Parody', 'Shoujo']","Oct 7, 2008 to Dec 23, 2008",12.0,3571,6573,9030.0,5.78,https://cdn.myanimelist.net/images/anime/3/19268.jpg,https://myanimelist.net/anime/4908/Bihada_Ichizoku
25963,Backkom Meogeujan Yeohaeng,A cowardly boy ends up having a magic necklace delivered to him which transports him to the world of Backkom. There the rag-tag team get out of jams and the boy learns a bit of courage by the time he arrives home.,"['Magic', 'Adventure', 'Comedy', 'Kids']","Mar 22, 2007",1.0,285,12281,9029.0,5.78,https://cdn.myanimelist.net/images/anime/9/66089.jpg,https://myanimelist.net/anime/25963/Backkom_Meogeujan_Yeohaeng
1442,Alexander Senki,"In 356 BC, Alexander the Great arrives in Greece with the ominous destiny that he will become the ""destroyer of the world."" Inheriting the crown, he becomes king of the Macedonians and starts down a road of conquest with terrific speed. Alexander ultimately confronts his fated nemesis, Darius the Third, in a war with Persia which changes Alexander into the devil he was fated to become, assuring the destruction of all in his path, and possibly himself. 
 
(Source: TBS Global Business)","['Action', 'Adventure', 'Fantasy', 'Historical', 'Sci-Fi', 'Supernatural']","Sep 15, 1999 to Sep 18, 1999",13.0,5685,5451,9028.0,5.78,https://cdn.myanimelist.net/images/anime/1108/95688.jpg,https://myanimelist.net/anime/1442/Alexander_Senki
1411,VS Knight Lamune & 40 Fresh,"To save the galaxy from impending doom, Cacao and Parfait are sent on a mission through time and space to retrieve the Fourth Warrior, Lamunes. 
 
Unfortunately, Cacao and Parfait discover Lamunes at the helm of the marauding Giga Genos invasion fleet. World by world, Lamunes is determined to bring the entire galaxy under his tyrannical heel. With the help of a plicky orphan, it's up to Cacao and Parfait to stop Lamunes from taking over the world.  
","['Adventure', 'Comedy', 'Ecchi', 'Mecha', 'Sci-Fi', 'Space']","May 21, 1997 to Nov 21, 1997",6.0,1898,8070,9026.0,5.79,https://cdn.myanimelist.net/images/anime/1628/94357.jpg,https://myanimelist.net/anime/1411/VS_Knight_Lamune___40_Fresh
21081,Yu Bang Xiang Zheng,"Based on a story originally told by Su Dai in feudal China, a fisherman observes as a snipe and clam struggle over food.",['Historical'],"Feb, 1984",1.0,486,11085,9027.0,5.79,https://cdn.myanimelist.net/images/anime/9/55681.jpg,https://myanimelist.net/anime/21081/Yu_Bang_Xiang_Zheng
23903,Tuzki: Love Assassin,"A darkly cute tale of foiled romance and contract assassinations starring Tuzki (兔斯基). 
 
(Source: AniDB)","['Comedy', 'Romance']","Feb 12, 2014",1.0,686,10288,9025.0,5.79,https://cdn.myanimelist.net/images/anime/6/61931.jpg,https://myanimelist.net/anime/23903/Tuzki__Love_Assassin
34103,Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,"The Future Foundation is in shambles after the Final Killing Game and the revelation of the true culprit. As a desperate plot arises from one of the survivors to rid the world of despair once and for all, the remaining Future Foundation members must band together to stop this atrocity from taking place. Fortunately, they find themselves with help from a group of unlikely allies as they race against the clock to stop their world from being changed. 
 
In this finale to the Hope's Peak storyline of the  Danganronpa  series, the players in this neverending death game begin to understand the true meaning behind despair, hope, and atonement. 
 
[Written by MAL Rewrite]","['Action', 'Psychological', 'Horror', 'Mystery']","Sep 29, 2016",1.0,94363,1161,1121.0,7.71,https://cdn.myanimelist.net/images/anime/1295/91106.jpg,https://myanimelist.net/anime/34103/Danganronpa_3__The_End_of_Kibougamine_Gakuen_-_Kibou-hen
